"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"43","휴게음식점","07_24_05_P","3670000","3670000-104-2026-00034","2026-01-29","","03","폐업","02","폐업","2026-02-28","","","","","","305-340","대전광역시 유성구 도룡동 648 대전신세계백화점 지하1층 A99-9","대전광역시 유성구 엑스포로 1, 대전신세계백화점 지하1층 A99-9 (도룡동)","34126","주식회사 지유에프엘","2026-03-01 04:15:08","U","2026-03-04 02:40:00","기타 휴게음식점","234414.00794623","319679.535632277","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"44","휴게음식점","07_24_05_P","5120000","5120000-104-2026-00005","2026-01-30","","03","폐업","02","폐업","2026-02-28","","","","","","745-885","경상북도 문경시 점촌동 199-8","경상북도 문경시 상신로 5-5, 닻별광장 (점촌동)","36954","커피점빵","2026-03-01 04:15:10","U","2026-03-04 02:40:00","커피숍","307139.870913737","344386.297683486","커피숍","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"45","휴게음식점","07_24_05_P","4050000","5640000-104-2026-00023","2026-01-29","","03","폐업","02","폐업","2026-02-28","","","","","","448-811","경기도 용인시 수지구 죽전동 1285 (주)신세계 사우스시티","경기도 용인시 수지구 포은대로 536 (주)신세계 사우스시티 지하2층 일부호 (죽전동)","16896","너구리베이글","2026-03-01 04:15:11","U","2026-03-04 02:40:00","기타 휴게음식점","209514.367988403","424782.528523847","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"46","휴게음식점","07_24_05_P","3220000","3220000-104-2026-00054","2026-01-29","","03","폐업","02","폐업","2026-03-01","","","","02  566 5620","","135-731","서울특별시 강남구 삼성동 159 코엑스","서울특별시 강남구 영동대로 513, 코엑스 B홀 B-003 (삼성동)","06164","한남작업실(한시적)","2026-03-02 04:15:08","U","2026-03-04 02:40:00","커피숍","205130.591678902","445590.096837802","커피숍","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"47","휴게음식점","07_24_05_P","3700000","3700000-104-2026-00024","2026-01-29","","03","폐업","02","폐업","2026-02-28","","","","052 9222360","","680-746","울산광역시 남구 삼산동 1480-1 롯데백화점, 울산고속버스터미널","울산광역시 남구 삼산로 288, 롯데백화점, 울산고속버스터미널 (삼산동)","44719","호두방정","2026-03-01 04:15:09","U","2026-03-04 02:40:00","백화점","412001.966655452","229039.563308072","백화점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"48","휴게음식점","07_24_05_P","5530000","5770000-104-2026-00038","2026-01-20","","03","폐업","02","폐업","2026-02-28","","","","","","","경기도 화성시 동탄구 여울동 1089 동탄역 롯데캐슬","경기도 화성시 동탄구 여울동 동탄역로 160, 롯데백화점 동탄점 지하1층 일부 (여울동)","","주식회사 보해명가","2026-03-01 04:15:09","U","2026-03-04 02:40:00","일반조리판매","208569.642431686","410949.263462028","일반조리판매","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"49","휴게음식점","07_24_05_P","3740000","3750000-104-2026-00012","2026-01-29","","03","폐업","02","폐업","2026-02-28","","","","","0.00","440-835","경기도 수원시 장안구 정자동 111-14","경기도 수원시 장안구 수성로 175, 수원스타필드 7층 7185호 (정자동)","16318","농업회사법인 흥만소 주식회사","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","199161.380909543","420620.351156652","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"50","휴게음식점","07_24_05_P","4301000","4301000-104-2024-00065","2024-05-29","","01","영업/정상","01","영업","","","","","","102.85","","강원특별자치도 철원군 근남면 사곡리 718-7","강원특별자치도 철원군 근남면 하오재로 2218","24063","빵아지","2026-03-01 10:23:04","U","2026-03-04 02:40:00","커피숍","241150.392540392","527718.377324142","커피숍","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","102.85","","","",
"51","휴게음식점","07_24_05_P","4050000","5640000-104-2026-00025","2026-02-02","","03","폐업","02","폐업","2026-02-28","","","","","0.00","448-140","경기도 용인시 수지구 성복동 789 롯데몰 수지점","경기도 용인시 수지구 성복2로 38, 롯데몰 수지점 지하1층 일부호 (성복동)","16847","나따오비까","2026-03-01 04:15:11","U","2026-03-04 02:40:00","백화점","207273.490731332","423410.218285701","백화점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"52","휴게음식점","07_24_05_P","3930000","5560000-104-2026-00015","2026-02-02","","03","폐업","02","폐업","2026-02-28","","","","","","425-868","경기도 안산시 단원구 고잔동 536-2 롯데백화점","경기도 안산시 단원구 고잔1길 12, 롯데백화점 지하1층 (고잔동)","15360","와플빙","2026-03-01 04:15:08","U","2026-03-04 02:40:00","기타 휴게음식점","185262.981866275","424012.30109378","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"53","휴게음식점","07_24_05_P","4090000","4090000-104-2026-00018","2026-02-02","","03","폐업","02","폐업","2026-02-28","","","","","6.60","415-816","경기도 김포시 고촌읍 전호리 654 현대프리미엄아울렛","경기도 김포시 고촌읍 아라육로152번길 100, 현대프리미엄아울렛 1층 행사장","10135","(주)미르에프엔비","2026-03-01 04:15:10","U","2026-03-04 02:40:00","기타 휴게음식점","180999.482133785","455254.138222429","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","6.6","","","",
"54","휴게음식점","07_24_05_P","3180000","3180000-104-2026-00065","2026-02-05","","03","폐업","02","폐업","2026-02-28","","","","","3.30","150-899","서울특별시 영등포구 영등포동 618-496 영등포 민자역사","서울특별시 영등포구 경인로 846, 롯데백화점 영등포점 1층 (영등포동)","07306","제이제이 디저트","2026-03-01 04:15:09","U","2026-03-04 02:40:00","기타 휴게음식점","191741.345847708","445970.307641467","기타 휴게음식점","0","0","","","","0","0","0","0","0","","0","0","N","3.3","","","",
"55","휴게음식점","07_24_05_P","3740000","3750000-104-2012-00006","2012-02-20","","01","영업/정상","01","영업","","","","","031 2530370","39.10","440-847","경기도 수원시 장안구 조원동 740-5","경기도 수원시 장안구 송정로 189, 가동 1층 일부호 (조원동)","16286","할매떡볶이","2026-03-01 10:38:07","U","2026-03-04 02:40:00","일반조리판매","201434.417759448","421913.038318427","일반조리판매","0","0","주택가주변","","상수도전용","0","0","0","0","0","","0","0","N","39.1","","","",
"56","휴게음식점","07_24_05_P","3910000","3910029-104-2025-00146","2025-12-16","","01","영업/정상","01","영업","","","","","041 5896076","9.58","","경기도 평택시 고덕동 1695 외 1필지 사무3동 5층","","","삼성전자 평택사무3동점 (주)메가마트","2026-03-01 13:32:07","U","2026-03-04 02:40:00","기타 휴게음식점","205276.542163998","392561.65560657","기타 휴게음식점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","9.58","","","",
